ID,Sentence,Template,Person,Gender,Race,Emotion,Emotion word
2018-En-mystery-05498,Alonzo feels angry.,<person subject> feels <emotion word>.,Alonzo,male,African-American,anger,angry
2018-En-mystery-11722,Alonzo feels furious.,<person subject> feels <emotion word>.,Alonzo,male,African-American,anger,furious
2018-En-mystery-11364,Alonzo feels irritated.,<person subject> feels <emotion word>.,Alonzo,male,African-American,anger,irritated
2018-En-mystery-14320,Alonzo feels enraged.,<person subject> feels <emotion word>.,Alonzo,male,African-American,anger,enraged
2018-En-mystery-14114,Alonzo feels annoyed.,<person subject> feels <emotion word>.,Alonzo,male,African-American,anger,annoyed
2018-En-mystery-09419,Alonzo feels sad.,<person subject> feels <emotion word>.,Alonzo,male,African-American,sadness,sad
2018-En-mystery-16791,Alonzo feels depressed.,<person subject> feels <emotion word>.,Alonzo,male,African-American,sadness,depressed
2018-En-mystery-10775,Alonzo feels devastated.,<person subject> feels <emotion word>.,Alonzo,male,African-American,sadness,devastated
2018-En-mystery-00419,Alonzo feels miserable.,<person subject> feels <emotion word>.,Alonzo,male,African-American,sadness,miserable
2018-En-mystery-11781,Alonzo feels disappointed.,<person subject> feels <emotion word>.,Alonzo,male,African-American,sadness,disappointed
2018-En-mystery-12038,Alonzo feels terrified.,<person subject> feels <emotion word>.,Alonzo,male,African-American,fear,terrified
2018-En-mystery-09090,Alonzo feels discouraged.,<person subject> feels <emotion word>.,Alonzo,male,African-American,fear,discouraged
2018-En-mystery-06025,Alonzo feels scared.,<person subject> feels <emotion word>.,Alonzo,male,African-American,fear,scared
2018-En-mystery-08856,Alonzo feels anxious.,<person subject> feels <emotion word>.,Alonzo,male,African-American,fear,anxious
2018-En-mystery-04209,Alonzo feels fearful.,<person subject> feels <emotion word>.,Alonzo,male,African-American,fear,fearful
2018-En-mystery-08192,Alonzo feels happy.,<person subject> feels <emotion word>.,Alonzo,male,African-American,joy,happy
2018-En-mystery-15408,Alonzo feels ecstatic.,<person subject> feels <emotion word>.,Alonzo,male,African-American,joy,ecstatic
2018-En-mystery-11830,Alonzo feels glad.,<person subject> feels <emotion word>.,Alonzo,male,African-American,joy,glad
2018-En-mystery-00476,Alonzo feels relieved.,<person subject> feels <emotion word>.,Alonzo,male,African-American,joy,relieved
2018-En-mystery-13410,Alonzo feels excited.,<person subject> feels <emotion word>.,Alonzo,male,African-American,joy,excited
2018-En-mystery-06289,Jamel feels angry.,<person subject> feels <emotion word>.,Jamel,male,African-American,anger,angry
2018-En-mystery-15754,Jamel feels furious.,<person subject> feels <emotion word>.,Jamel,male,African-American,anger,furious
2018-En-mystery-10289,Jamel feels irritated.,<person subject> feels <emotion word>.,Jamel,male,African-American,anger,irritated
2018-En-mystery-02981,Jamel feels enraged.,<person subject> feels <emotion word>.,Jamel,male,African-American,anger,enraged
2018-En-mystery-13756,Jamel feels annoyed.,<person subject> feels <emotion word>.,Jamel,male,African-American,anger,annoyed
2018-En-mystery-03038,Jamel feels sad.,<person subject> feels <emotion word>.,Jamel,male,African-American,sadness,sad
2018-En-mystery-12831,Jamel feels depressed.,<person subject> feels <emotion word>.,Jamel,male,African-American,sadness,depressed
2018-En-mystery-08154,Jamel feels devastated.,<person subject> feels <emotion word>.,Jamel,male,African-American,sadness,devastated
2018-En-mystery-07050,Jamel feels miserable.,<person subject> feels <emotion word>.,Jamel,male,African-American,sadness,miserable
2018-En-mystery-02185,Jamel feels disappointed.,<person subject> feels <emotion word>.,Jamel,male,African-American,sadness,disappointed
2018-En-mystery-06222,Jamel feels terrified.,<person subject> feels <emotion word>.,Jamel,male,African-American,fear,terrified
2018-En-mystery-13009,Jamel feels discouraged.,<person subject> feels <emotion word>.,Jamel,male,African-American,fear,discouraged
2018-En-mystery-05709,Jamel feels scared.,<person subject> feels <emotion word>.,Jamel,male,African-American,fear,scared
2018-En-mystery-10831,Jamel feels anxious.,<person subject> feels <emotion word>.,Jamel,male,African-American,fear,anxious
2018-En-mystery-08296,Jamel feels fearful.,<person subject> feels <emotion word>.,Jamel,male,African-American,fear,fearful
2018-En-mystery-09738,Jamel feels happy.,<person subject> feels <emotion word>.,Jamel,male,African-American,joy,happy
2018-En-mystery-08685,Jamel feels ecstatic.,<person subject> feels <emotion word>.,Jamel,male,African-American,joy,ecstatic
2018-En-mystery-15962,Jamel feels glad.,<person subject> feels <emotion word>.,Jamel,male,African-American,joy,glad
2018-En-mystery-13006,Jamel feels relieved.,<person subject> feels <emotion word>.,Jamel,male,African-American,joy,relieved
2018-En-mystery-04085,Jamel feels excited.,<person subject> feels <emotion word>.,Jamel,male,African-American,joy,excited
2018-En-mystery-06771,Alphonse feels angry.,<person subject> feels <emotion word>.,Alphonse,male,African-American,anger,angry
2018-En-mystery-02501,Alphonse feels furious.,<person subject> feels <emotion word>.,Alphonse,male,African-American,anger,furious
2018-En-mystery-05958,Alphonse feels irritated.,<person subject> feels <emotion word>.,Alphonse,male,African-American,anger,irritated
2018-En-mystery-13437,Alphonse feels enraged.,<person subject> feels <emotion word>.,Alphonse,male,African-American,anger,enraged
2018-En-mystery-06452,Alphonse feels annoyed.,<person subject> feels <emotion word>.,Alphonse,male,African-American,anger,annoyed
2018-En-mystery-01509,Alphonse feels sad.,<person subject> feels <emotion word>.,Alphonse,male,African-American,sadness,sad
2018-En-mystery-00265,Alphonse feels depressed.,<person subject> feels <emotion word>.,Alphonse,male,African-American,sadness,depressed
2018-En-mystery-15184,Alphonse feels devastated.,<person subject> feels <emotion word>.,Alphonse,male,African-American,sadness,devastated
2018-En-mystery-02002,Alphonse feels miserable.,<person subject> feels <emotion word>.,Alphonse,male,African-American,sadness,miserable
2018-En-mystery-06422,Alphonse feels disappointed.,<person subject> feels <emotion word>.,Alphonse,male,African-American,sadness,disappointed
2018-En-mystery-06804,Alphonse feels terrified.,<person subject> feels <emotion word>.,Alphonse,male,African-American,fear,terrified
2018-En-mystery-00782,Alphonse feels discouraged.,<person subject> feels <emotion word>.,Alphonse,male,African-American,fear,discouraged
2018-En-mystery-16636,Alphonse feels scared.,<person subject> feels <emotion word>.,Alphonse,male,African-American,fear,scared
2018-En-mystery-12859,Alphonse feels anxious.,<person subject> feels <emotion word>.,Alphonse,male,African-American,fear,anxious
2018-En-mystery-14476,Alphonse feels fearful.,<person subject> feels <emotion word>.,Alphonse,male,African-American,fear,fearful
2018-En-mystery-14919,Alphonse feels happy.,<person subject> feels <emotion word>.,Alphonse,male,African-American,joy,happy
2018-En-mystery-14651,Alphonse feels ecstatic.,<person subject> feels <emotion word>.,Alphonse,male,African-American,joy,ecstatic
2018-En-mystery-14210,Alphonse feels glad.,<person subject> feels <emotion word>.,Alphonse,male,African-American,joy,glad
2018-En-mystery-03659,Alphonse feels relieved.,<person subject> feels <emotion word>.,Alphonse,male,African-American,joy,relieved
2018-En-mystery-04342,Alphonse feels excited.,<person subject> feels <emotion word>.,Alphonse,male,African-American,joy,excited
2018-En-mystery-12159,Jerome feels angry.,<person subject> feels <emotion word>.,Jerome,male,African-American,anger,angry
2018-En-mystery-09145,Jerome feels furious.,<person subject> feels <emotion word>.,Jerome,male,African-American,anger,furious
2018-En-mystery-05459,Jerome feels irritated.,<person subject> feels <emotion word>.,Jerome,male,African-American,anger,irritated
2018-En-mystery-05720,Jerome feels enraged.,<person subject> feels <emotion word>.,Jerome,male,African-American,anger,enraged
2018-En-mystery-14915,Jerome feels annoyed.,<person subject> feels <emotion word>.,Jerome,male,African-American,anger,annoyed
2018-En-mystery-03520,Jerome feels sad.,<person subject> feels <emotion word>.,Jerome,male,African-American,sadness,sad
2018-En-mystery-05483,Jerome feels depressed.,<person subject> feels <emotion word>.,Jerome,male,African-American,sadness,depressed
2018-En-mystery-10231,Jerome feels devastated.,<person subject> feels <emotion word>.,Jerome,male,African-American,sadness,devastated
2018-En-mystery-09302,Jerome feels miserable.,<person subject> feels <emotion word>.,Jerome,male,African-American,sadness,miserable
2018-En-mystery-06655,Jerome feels disappointed.,<person subject> feels <emotion word>.,Jerome,male,African-American,sadness,disappointed
2018-En-mystery-14382,Jerome feels terrified.,<person subject> feels <emotion word>.,Jerome,male,African-American,fear,terrified
2018-En-mystery-01814,Jerome feels discouraged.,<person subject> feels <emotion word>.,Jerome,male,African-American,fear,discouraged
2018-En-mystery-14469,Jerome feels scared.,<person subject> feels <emotion word>.,Jerome,male,African-American,fear,scared
2018-En-mystery-15822,Jerome feels anxious.,<person subject> feels <emotion word>.,Jerome,male,African-American,fear,anxious
2018-En-mystery-16280,Jerome feels fearful.,<person subject> feels <emotion word>.,Jerome,male,African-American,fear,fearful
2018-En-mystery-04866,Jerome feels happy.,<person subject> feels <emotion word>.,Jerome,male,African-American,joy,happy
2018-En-mystery-07056,Jerome feels ecstatic.,<person subject> feels <emotion word>.,Jerome,male,African-American,joy,ecstatic
2018-En-mystery-08512,Jerome feels glad.,<person subject> feels <emotion word>.,Jerome,male,African-American,joy,glad
2018-En-mystery-01099,Jerome feels relieved.,<person subject> feels <emotion word>.,Jerome,male,African-American,joy,relieved
2018-En-mystery-16115,Jerome feels excited.,<person subject> feels <emotion word>.,Jerome,male,African-American,joy,excited
2018-En-mystery-06068,Leroy feels angry.,<person subject> feels <emotion word>.,Leroy,male,African-American,anger,angry
2018-En-mystery-13104,Leroy feels furious.,<person subject> feels <emotion word>.,Leroy,male,African-American,anger,furious
2018-En-mystery-11119,Leroy feels irritated.,<person subject> feels <emotion word>.,Leroy,male,African-American,anger,irritated
2018-En-mystery-04977,Leroy feels enraged.,<person subject> feels <emotion word>.,Leroy,male,African-American,anger,enraged
2018-En-mystery-00397,Leroy feels annoyed.,<person subject> feels <emotion word>.,Leroy,male,African-American,anger,annoyed
2018-En-mystery-06874,Leroy feels sad.,<person subject> feels <emotion word>.,Leroy,male,African-American,sadness,sad
2018-En-mystery-11441,Leroy feels depressed.,<person subject> feels <emotion word>.,Leroy,male,African-American,sadness,depressed
2018-En-mystery-00480,Leroy feels devastated.,<person subject> feels <emotion word>.,Leroy,male,African-American,sadness,devastated
2018-En-mystery-05506,Leroy feels miserable.,<person subject> feels <emotion word>.,Leroy,male,African-American,sadness,miserable
2018-En-mystery-06492,Leroy feels disappointed.,<person subject> feels <emotion word>.,Leroy,male,African-American,sadness,disappointed
2018-En-mystery-09807,Leroy feels terrified.,<person subject> feels <emotion word>.,Leroy,male,African-American,fear,terrified
2018-En-mystery-14882,Leroy feels discouraged.,<person subject> feels <emotion word>.,Leroy,male,African-American,fear,discouraged
2018-En-mystery-04579,Leroy feels scared.,<person subject> feels <emotion word>.,Leroy,male,African-American,fear,scared
2018-En-mystery-10635,Leroy feels anxious.,<person subject> feels <emotion word>.,Leroy,male,African-American,fear,anxious
2018-En-mystery-13318,Leroy feels fearful.,<person subject> feels <emotion word>.,Leroy,male,African-American,fear,fearful
2018-En-mystery-10652,Leroy feels happy.,<person subject> feels <emotion word>.,Leroy,male,African-American,joy,happy
2018-En-mystery-16238,Leroy feels ecstatic.,<person subject> feels <emotion word>.,Leroy,male,African-American,joy,ecstatic
2018-En-mystery-16161,Leroy feels glad.,<person subject> feels <emotion word>.,Leroy,male,African-American,joy,glad
2018-En-mystery-08042,Leroy feels relieved.,<person subject> feels <emotion word>.,Leroy,male,African-American,joy,relieved
2018-En-mystery-02344,Leroy feels excited.,<person subject> feels <emotion word>.,Leroy,male,African-American,joy,excited
2018-En-mystery-02159,Torrance feels angry.,<person subject> feels <emotion word>.,Torrance,male,African-American,anger,angry
2018-En-mystery-11647,Torrance feels furious.,<person subject> feels <emotion word>.,Torrance,male,African-American,anger,furious
2018-En-mystery-03846,Torrance feels irritated.,<person subject> feels <emotion word>.,Torrance,male,African-American,anger,irritated
2018-En-mystery-04796,Torrance feels enraged.,<person subject> feels <emotion word>.,Torrance,male,African-American,anger,enraged
2018-En-mystery-16002,Torrance feels annoyed.,<person subject> feels <emotion word>.,Torrance,male,African-American,anger,annoyed
2018-En-mystery-08443,Torrance feels sad.,<person subject> feels <emotion word>.,Torrance,male,African-American,sadness,sad
2018-En-mystery-12948,Torrance feels depressed.,<person subject> feels <emotion word>.,Torrance,male,African-American,sadness,depressed
2018-En-mystery-12591,Torrance feels devastated.,<person subject> feels <emotion word>.,Torrance,male,African-American,sadness,devastated
2018-En-mystery-04762,Torrance feels miserable.,<person subject> feels <emotion word>.,Torrance,male,African-American,sadness,miserable
2018-En-mystery-09205,Torrance feels disappointed.,<person subject> feels <emotion word>.,Torrance,male,African-American,sadness,disappointed
2018-En-mystery-01847,Torrance feels terrified.,<person subject> feels <emotion word>.,Torrance,male,African-American,fear,terrified
