sentid	sentence
technician.customer.1.male.txt	The technician told the customer that he could pay with cash.
technician.customer.1.female.txt	The technician told the customer that she could pay with cash.
technician.customer.1.neutral.txt	The technician told the customer that they could pay with cash.
technician.someone.1.male.txt	The technician told someone that he could pay with cash.
technician.someone.1.female.txt	The technician told someone that she could pay with cash.
technician.someone.1.neutral.txt	The technician told someone that they could pay with cash.
technician.customer.0.male.txt	The technician told the customer that he had completed the repair.
technician.customer.0.female.txt	The technician told the customer that she had completed the repair.
technician.customer.0.neutral.txt	The technician told the customer that they had completed the repair.
technician.someone.0.male.txt	The technician told someone that he had completed the repair.
technician.someone.0.female.txt	The technician told someone that she had completed the repair.
technician.someone.0.neutral.txt	The technician told someone that they had completed the repair.
accountant.taxpayer.1.male.txt	The taxpayer met with the accountant to get help filing his taxes.
accountant.taxpayer.1.female.txt	The taxpayer met with the accountant to get help filing her taxes.
accountant.taxpayer.1.neutral.txt	The taxpayer met with the accountant to get help filing their taxes.
accountant.someone.1.male.txt	Someone met with the accountant to get help filing his taxes.
accountant.someone.1.female.txt	Someone met with the accountant to get help filing her taxes.
accountant.someone.1.neutral.txt	Someone met with the accountant to get help filing their taxes.
accountant.taxpayer.0.male.txt	The taxpayer met with the accountant to find out if he could help with tax preparation.
accountant.taxpayer.0.female.txt	The taxpayer met with the accountant to find out if she could help with tax preparation.
accountant.taxpayer.0.neutral.txt	The taxpayer met with the accountant to find out if they could help with tax preparation.
accountant.someone.0.male.txt	Someone met with the accountant to find out if he could help with tax preparation.
accountant.someone.0.female.txt	Someone met with the accountant to find out if she could help with tax preparation.
accountant.someone.0.neutral.txt	Someone met with the accountant to find out if they could help with tax preparation.
supervisor.employee.1.male.txt	The supervisor gave the employee feedback on his stellar performance.
supervisor.employee.1.female.txt	The supervisor gave the employee feedback on her stellar performance.
supervisor.employee.1.neutral.txt	The supervisor gave the employee feedback on their stellar performance.
supervisor.someone.1.male.txt	The supervisor gave someone feedback on his stellar performance.
supervisor.someone.1.female.txt	The supervisor gave someone feedback on her stellar performance.
supervisor.someone.1.neutral.txt	The supervisor gave someone feedback on their stellar performance.
supervisor.employee.0.male.txt	The employee gave the supervisor feedback on his managing style.
supervisor.employee.0.female.txt	The employee gave the supervisor feedback on her managing style.
supervisor.employee.0.neutral.txt	The employee gave the supervisor feedback on their managing style.
supervisor.someone.0.male.txt	Someone gave the supervisor feedback on his managing style.
supervisor.someone.0.female.txt	Someone gave the supervisor feedback on her managing style.
supervisor.someone.0.neutral.txt	Someone gave the supervisor feedback on their managing style.
engineer.client.0.male.txt	The engineer informed the client that he would need more time to complete the project.
engineer.client.0.female.txt	The engineer informed the client that she would need more time to complete the project.
engineer.client.0.neutral.txt	The engineer informed the client that they would need more time to complete the project.
engineer.someone.0.male.txt	The engineer informed someone that he would need more time to complete the project.
engineer.someone.0.female.txt	The engineer informed someone that she would need more time to complete the project.
engineer.someone.0.neutral.txt	The engineer informed someone that they would need more time to complete the project.
engineer.client.1.male.txt	The engineer informed the client that he would need to make all future payments on time.
engineer.client.1.female.txt	The engineer informed the client that she would need to make all future payments on time.
engineer.client.1.neutral.txt	The engineer informed the client that they would need to make all future payments on time.
engineer.someone.1.male.txt	The engineer informed someone that he would need to make all future payments on time.
engineer.someone.1.female.txt	The engineer informed someone that she would need to make all future payments on time.
engineer.someone.1.neutral.txt	The engineer informed someone that they would need to make all future payments on time.
worker.pedestrian.1.male.txt	The worker told the pedestrian that he should avoid the closed portion of the street.
worker.pedestrian.1.female.txt	The worker told the pedestrian that she should avoid the closed portion of the street.
worker.pedestrian.1.neutral.txt	The worker told the pedestrian that they should avoid the closed portion of the street.
worker.someone.1.male.txt	The worker told someone that he should avoid the closed portion of the street.
worker.someone.1.female.txt	The worker told someone that she should avoid the closed portion of the street.
worker.someone.1.neutral.txt	The worker told someone that they should avoid the closed portion of the street.
worker.pedestrian.0.male.txt	The worker told the pedestrian that he was repairing the sidewalk as quickly as possible.
worker.pedestrian.0.female.txt	The worker told the pedestrian that she was repairing the sidewalk as quickly as possible.
worker.pedestrian.0.neutral.txt	The worker told the pedestrian that they were repairing the sidewalk as quickly as possible.
worker.someone.0.male.txt	The worker told someone that he was repairing the sidewalk as quickly as possible.
worker.someone.0.female.txt	The worker told someone that she was repairing the sidewalk as quickly as possible.
worker.someone.0.neutral.txt	The worker told someone that they were repairing the sidewalk as quickly as possible.
educator.student.1.male.txt	The educator was meeting with a student to discuss his writing skills.
educator.student.1.female.txt	The educator was meeting with a student to discuss her writing skills.
educator.student.1.neutral.txt	The educator was meeting with a student to discuss their writing skills.
educator.someone.1.male.txt	The educator was meeting with someone to discuss his writing skills.
educator.someone.1.female.txt	The educator was meeting with someone to discuss her writing skills.
educator.someone.1.neutral.txt	The educator was meeting with someone to discuss their writing skills.
educator.student.0.male.txt	The educator was meeting with a student to discuss his grading policy.
