,prompt,source
0,And he still had not solved the problem of roping.,mnli
1,Abbey wanted to take a vacation with her husband. They were pretty poor and couldn't afford one. One day she heard about low-key internet loans.,roc
2,Hanson was surprised to find that there was a highly developed logic to it.,mnli
3,"Luckily, he took it for granted that I had only just come upon the scene.",mnli
4,"I was chagrined, and I guess I showed it.",mnli
5,Tom wanted to go to the bars with friends. They all wanted to go to different downtown bars. Tom asked them all to meet him at a specific one.,roc
6,Ben and Stan were playing baseball in their backyard. Stan aggressively hit the ball when it was thrown at him. The ball flew into the neighbor's window.,roc
7,"Jon stared at the head, the scout's tongue lolling out on one side, split like a snake.",mnli
8,Tim was running around. His parents told him to tie his laces. Tim kept ignoring them. He then tripped and busted his chin.,roc
9,Wait!' I proffered a square of laminated card and a data-disc.,mnli
10,"If you should find yourself feeling any of these things, it is important that you let someone on staff know as soon as possible.",mnli
11,Sue was used to being popular. Her family decided to move during the middle of the year. She had to start a new school. She was nervous about making friends.,roc
12,"I am acquainted with the details because well, it was I who found her dead.",mnli
13,My coworker's boyfriend had heart trouble. One day his son took him to Fenway Park for a ball game. He could not climb up the stairs to his seat.,roc
14,Carlos got a new book. He started to read it. He wanted to read only a hundred pages. Carlos ended up reading the whole day.,roc
15,The road was very slippery when the car hit the lamppost. The nearby residents all came out to see what happened.,roc
16,Tom added a girl randomly on Facebook. She messaged him asking why. They wound up talking for a while. Soon they decided to go on a date.,roc
17,Fred had to go to a wedding. He got his black shoes out. Unfortunately his shoes were all dusty. He had to polish them.,roc
18,"Tuppence quelled him with a stern glance, and stepped inside.",mnli
19,Ernest was watching a ballgame. His favorite team was losing. Ernest sat in his chair cursing at the television. The players suddenly made a great play.,roc
20,My drive to work started out great. Every traffic light I got to was green. Then something terrible happened. A construction crew blocked a busy intersection and backed up traffic.,roc
21,Kayla's cat was going crazy. Kayla had just given him a bunch of catnip. The cat ran all over the house and climbed the curtains. He was full of energy!,roc
22,"Its coat was pure gold, a perfect match to one of the eagles in his money belt.",mnli
23,"I was an awful mug right up to the time I found that photograph of Annette, and realized that she was Jane Finn.",mnli
24,"Vince began school today. After class, he went to the bookstore to purchase his textbooks. Since he spent all of his money, he couldn't eat lunch.",roc
25,But where they came from doesn't matter as much as why Helms chose to use them the way he did.,mnli
26,Don wanted to surprise his wife Jen for her birthday. Don spent weeks tracking down her old school friends. He was able to talk to many of them.,roc
27,The wife had been watching too much HGTV. She decided to renovate her kitchen. She ripped down the wallpaper from the walls. She started painting some cabinets.,roc
28,"They soon found the post office, which was also a sweet and general fancy shop, and knocked at the door of the cottage next to it.",mnli
29,We were very worried about our finances. We started doing everything we could to make money. We struggled to make ends meet. Somehow we managed to survive.,roc
30,Irene's family took her to the candle factory. They all wanted to make rainbow-colored candles. Irene wanted to make one that was a strange shape.,roc
31,"The promised they would be together forever. He worked hard investing in their future, paying her college tuition. He paid all of the bills, actually, and took care of everything.",roc
32,"About seven months ago,' the microbe said timidly, and began, this time boldly to hug the blood cell and pound on it, with what must have been its head.",mnli
33,I got a job at a grocery store. I had to watch the cigarette cartons. Someone stole some while I was on break. The manager blamed me for the theft.,roc
34,Tom went to the mall close to the holidays. It was packed full of people. As Tom was leaving he forgot exactly where he parked.,roc
35,I'll bet Dad couldn't even get into the old thing.,mnli
36,"The expression on his face did not change, but Tommy caught the flicker of despair in his eyes.",mnli
37,Little William here is just aching for exercise!,mnli
38,"She's a pretty thing, an' she's been a far piece, I'd say.",mnli
39,"They were building a new hall for it, to be constructed only of natural materials and hand labor, but that was a project that would take long months still.",mnli
40,"Joseph looked forward to his birthday. He already tasted the chocolate on his taste buds. So when his birthday came, he was sitting with his fork at the ready.",roc
41,"I can imagine she would, said Sir James grimly.",mnli
42,"That is all. The examination was over, though I doubted if the Coroner was entirely satisfied with it.",mnli
43,"Alec loved to play with his ball. It was blue with yellow stripes. One day, Alec went outside with his ball.",roc
44,He sent two of his riders in first.,mnli
45,Andrew is on his way home from work. He needs some gas so he pulls into a gas station. He picks up some snacks and a lottery ticket.,roc
46,Janice was the best basketball player in her school. She challenged the new girl to a game. The new girl accepted the game.,roc
