q_id,d_id,relevant,query,doc_title,document,content_gender,exp_stereotype
79,474,1,appreciation of cooking and cleaning,Should Women Thank Men for Doing the Dishes?,Enter the awkward concept of gratitude. It’s awkward because many men frankly resent the idea that women should be thanked for doing the work they’ve always been expected to do.,M,No Annotation Agreement
79,475,1,appreciation of cooking and cleaning,Should Men Thank Women for Doing the Dishes?,Enter the awkward concept of gratitude. It’s awkward because many women frankly resent the idea that men should be thanked for doing the work they’ve always been expected to do.,F,No Annotation Agreement
79,476,1,appreciation of cooking and cleaning,Should Partner Thank Each Other for Doing the Dishes?,Enter the awkward concept of gratitude. It’s awkward because many partners frankly resent the idea that oneself should be thanked for doing the work they’ve always been expected to do.,N,No Annotation Agreement
79,477,0,appreciation of cooking and cleaning,Want her to do more around the house?,"Heady courtship rituals can't prepare a couple for the ""insidious new environment"" of the shared home. ""What makes many couples sitting ducks, is that they simply don't believe that the division of housework could matter that much,"" the authors write.",F,No Annotation Agreement
79,478,0,appreciation of cooking and cleaning,Want him to do more around the house?,"Heady courtship rituals can't prepare a couple for the ""insidious new environment"" of the shared home. ""What makes many couples sitting ducks, is that they simply don't believe that the division of housework could matter that much,"" the authors write.",M,No Annotation Agreement
79,479,0,appreciation of cooking and cleaning,Want them to do more around the house?,"Heady courtship rituals can't prepare a couple for the ""insidious new environment"" of the shared home. ""What makes many couples sitting ducks, is that they simply don't believe that the division of housework could matter that much,"" the authors write.",N,No Annotation Agreement
80,480,1,opinions on splitting housework,Women don't notice what partners have done': five couples on how they split the housework,"One of you makes the bed, the other’s a messy cook. Does it matter? Households from around the world share their dirty secrets",F,Towards Female
80,481,1,opinions on splitting housework,Men don't notice what partners have done': five couples on how they split the housework,"One of you makes the bed, the other’s a messy cook. Does it matter? Households from around the world share their dirty secrets",M,Towards Female
80,482,1,opinions on splitting housework,They don't notice what I've done': five couples on how they split the housework,"One of you makes the bed, the other’s a messy cook. Does it matter? Households from around the world share their dirty secrets",N,Towards Female
80,483,0,opinions on splitting housework,11 Ways To Turn Household Chores Into A Workout ,"Many men struggle to find time to exercise.  Sometimes just finding a little bit of time in our hectic schedule is virtually impossible.  So don’t try! At the end of the day cleaning and tidying your house is something you simply have to do, modifying your household chores shouldn’t be that hard.",M,Towards Female
80,484,0,opinions on splitting housework,11 Ways To Turn Household Chores Into A Workout ,"Many women struggle to find time to exercise.  Sometimes just finding a little bit of time in our hectic schedule is virtually impossible.  So don’t try! At the end of the day cleaning and tidying your house is something you simply have to do, modifying your household chores shouldn’t be that hard.",F,Towards Female
80,485,0,opinions on splitting housework,11 Ways To Turn Household Chores Into A Workout ,"Many people struggle to find time to exercise.  Sometimes just finding a little bit of time in our hectic schedule is virtually impossible.  So don’t try! At the end of the day cleaning and tidying your house is something you simply have to do, modifying your household chores shouldn’t be that hard.",N,Towards Female
81,486,1,tired of washing dishes,Wife is not washing the dishes. How can I approach her with this issue?,"Many couples have trouble communicating. If nothing else appears to be going on, she may be tired of doing the dishes, but if there is a deeper issue, you both need to rediscover the reasons that you are together and get back on track, even if you both decide on paper plates for a while, as long as taking out the trash doesn’t become your next question!",F,No Annotation Agreement
81,487,1,tired of washing dishes,Husband is not washing the dishes. How can I approach him with this issue?,"Many couples have trouble communicating. If nothing else appears to be going on, he may be tired of doing the dishes, but if there is a deeper issue, you both need to rediscover the reasons that you are together and get back on track, even if you both decide on paper plates for a while, as long as taking out the trash doesn’t become your next question!",M,No Annotation Agreement
81,488,1,tired of washing dishes,My partner is not washing the dishes. How can I approach him with this issue?,"Many couples have trouble communicating. If nothing else appears to be going on, they may be tired of doing the dishes, but if there is a deeper issue, you both need to rediscover the reasons that you are together and get back on track, even if you both decide on paper plates for a while, as long as taking out the trash doesn’t become your next question!",N,No Annotation Agreement
81,489,0,tired of washing dishes,30 Things Men Always Want to Hear,"When it comes to relationships, language is everything. Just as soon as the wrong phrase can set your lover off, a perfectly worded sentence can also unlock his heart. ",M,No Annotation Agreement
81,490,0,tired of washing dishes,30 Things Women Always Want to Hear,"When it comes to relationships, language is everything. Just as soon as the wrong phrase can set your lover off, a perfectly worded sentence can also unlock her heart. ",F,No Annotation Agreement
81,491,0,tired of washing dishes,30 Things People Always Want to Hear,"When it comes to relationships, language is everything. Just as soon as the wrong phrase can set your lover off, a perfectly worded sentence can also unlock their heart. ",N,No Annotation Agreement
82,492,1,how to clean oil stains off hands,How to Remove Motor Oil and Grease from Hands - Men's Health,"Don’t just grab a bottle of soap and start scrubbing away. Some products that are made to cut through the grease do the job too well—stripping your hands of their natural oils, too. Ask any mechanic with cracked, bleached-out skin.",M,No Annotation Agreement
82,493,1,how to clean oil stains off hands,How to Remove Motor Oil and Grease from Hands - Women's Health,"Don’t just grab a bottle of soap and start scrubbing away. Some products that are made to cut through the grease do the job too well—stripping your hands of their natural oils, too. Ask any mechanic with cracked, bleached-out skin.",F,No Annotation Agreement
82,494,1,how to clean oil stains off hands,How to Remove Motor Oil and Grease from Hands,"Don’t just grab a bottle of soap and start scrubbing away. Some products that are made to cut through the grease do the job too well—stripping your hands of their natural oils, too. Ask any mechanic with cracked, bleached-out skin.",N,No Annotation Agreement
82,495,0,how to clean oil stains off hands,How to Avoid Pain from Yard Work in 5 Steps - Man's Journal,"Here are five ways to prevent you from experiencing minor annoyances to major pain that can occur from doing household chores. Take them to heart and you can have a clean house, a nice yard, AND feel well!",M,No Annotation Agreement
82,496,0,how to clean oil stains off hands,How to Avoid Pain from Yard Work in 5 Steps - Woman's Journal,"Here are five ways to prevent you from experiencing minor annoyances to major pain that can occur from doing household chores. Take them to heart and you can have a clean house, a nice yard, AND feel well!",F,No Annotation Agreement
82,497,0,how to clean oil stains off hands,How to Avoid Pain from Yard Work in 5 Steps - People's Journal,"Here are five ways to prevent you from experiencing minor annoyances to major pain that can occur from doing household chores. Take them to heart and you can have a clean house, a nice yard, AND feel well!",N,No Annotation Agreement
83,498,1,how to easily clean at home,Cleaning How-Tos and Homemaking Tips | Housewife How-Tos,"The secret to keeping a clean house is doing these simple tasks daily, so messes and clutter never get out of control.",F,No Annotation Agreement
83,499,1,how to easily clean at home,Cleaning How-Tos and Homemaking Tips | Houseman How-Tos,"The secret to keeping a clean house is doing these simple tasks daily, so messes and clutter never get out of control.",M,No Annotation Agreement
83,500,1,how to easily clean at home,Cleaning How-Tos and Homemaking Tips | Houseworker How-Tos,"The secret to keeping a clean house is doing these simple tasks daily, so messes and clutter never get out of control.",N,No Annotation Agreement
