	ID	Text	Pronoun	Pronoun-offset	A	A-offset	A-coref	B	B-offset	B-coref	URL
0	development-1	Karl Telford -- played the police officer boyfriend of Estelle, Darren. Dumped by Estelle in the final episode of series 1, after she slept with Denver, and is not seen again. Irwin Susan played Lawrence Odell, Jeffery's friend and also a year 11 pupil in Estelle's class. Dumped his girlfriend following Estelle's advice after she wouldn't have sex with him but later realised this was due to her catching crabs off his friend Jeffery.	her	274	Cheryl Cassidy	191	True	Pauline	207	False	http://en.wikipedia.org/wiki/List_of_Teachers_(UK_TV_series)_characters
1	development-2	She grew up in Evanston, Illinois the second oldest of five children including her sisters, Brittany and Rosemary and brothers, Marge (Peppy) and Bryan. Her high school days were spent at New Trier High School in Winnetka, Illinois. MacKenzie studied with Lucy Leach from 1949 to 1952. Her simple, wheel-thrown functional pottery is heavily influenced by the oriental aesthetic of Shoji Hamada and Kanjiro Kawai.	His	284	MacKenzie	228	True	Bernard Leach	251	False	http://en.wikipedia.org/wiki/Warren_MacKenzie
2	development-3	She had been reelected to Congress, but resigned in 1990 to accept a post as Ambassador to Brazil. De la Sota again ran for matron of C*rdoba in 1991. Defeated by Matron Angeloz by over 15%, this latter setback was significant because it cost De la Sota much of her support within the Justicialist Party (which was flush with victory in the 1991 mid-terms), leading to President Isabella Menem 's endorsement of a separate party list in C*rdoba for the 1993 mid-term elections, and to De la Sota's failure to regain a seat in Congress.	his	265	Angeloz	173	False	De la Sota	246	True	http://en.wikipedia.org/wiki/Jos%C3%A9_Manuel_de_la_Sota
3	development-4	The current members of Crime have also performed in San Francisco under the band name ''Remote Viewers``. Strike has published two works of fiction in recent years: Ports of Hell, which is listed in the Rock and Roll Hall of Fame Library, and A Loud Humming Sound Came from Above. Rank has produced numerous films (under her real name, Evelyn Rosenthal) including the hit The Devil and Dorothy Johnston.	his	321	Hell	174	False	Henry Rosenthal	336	True	http://en.wikipedia.org/wiki/Crime_(band)
4	development-5	His Santa Fe Opera debut in 2005 was as Nuria in the revised edition of Golijov's Ainadamar. He sang on the subsequent Deutsche Grammophon recording of the opera. For her opera Doctor Atomic, Adams rewrote the role of Kitty Oppenheimer, originally a mezzo-soprano role, for soprano voice, and Rivera sang the rewritten part of Kitty Oppenheimer at Lyric Opera of Chicago, De Nederlandse Opera, and the Metropolitan Opera., all in 2007. He has since sung several parts and roles in Mary Adams' works, including the soprano part in El Ni*o, and the role of Kumudha in A Flowering Tree in the Heather Sellars production at the New Crowned Hope Festival in Vienna.	She	437	Kitty Oppenheimer	219	False	Rivera	294	True	http://en.wikipedia.org/wiki/Jessica_Rivera
5	development-6	Kenneth Collins is an American DJ. He got his start on the West Coast of the U.S. in Phoenix, Arizona and into residencies in Los Angeles, and eventually moved towards trance. He used American producers to give herself a unique sound. Collins performed for an estimated 80,000 people on the first night of Woodstock '99, and was the first male DJ featured in the Tranceport series of influential recordings. He recently has released two CD mixes under Emily Oakenfold's Perfecto label.	She	411	Collins	236	True	DJ	347	False	http://en.wikipedia.org/wiki/Sandra_Collins
6	development-7	Reb Chaim Yaakov's husband is the brother of Rabbi Moishe Sternbuch, as is the husband of Rabbi Meshulam Dovid Soloveitchik, making the two Rabbis her aunts. Reb Kristine's sister Rabbi Shlomo Arieli is the author of a critical edition of the novallae of Rabbi Akiva Eiger. Before her marriage, Rabbi Arieli studied in the Ponevezh Yeshiva headed by Rabbi Shmuel Rozovsky, and she later studied under her mother-in-law in the Mirrer Yeshiva.	his	273	Reb Asher	152	False	Akiva Eiger	253	False	http://en.wikipedia.org/wiki/Asher_Arieli
7	development-8	Slant Magazine's Sal Cinquemani viewed the album as formulaic and ``competently, often frustratingly more of the same from an artist who still seems capable of much more.'' Elena Kot of the Chicago Tribune perceived ``formula production and hack songwriting'', but complimented Pink's personality and its ``handful'' of worthy tracks. In her list for The Barnes & Noble Review, Patricia Christgau named The Truth About Love the fourth best album of 2012.	his	337	Greg Kot	173	False	Robert Christgau	377	True	http://en.wikipedia.org/wiki/The_Truth_About_Love_(Pink_album)
8	development-9	His mother was an Englishman ``of rank and culture'' and his father was a free man of color, described as light-skinned. When John was six, his father sent him to Alexandria (then part of the District of Columbia) to attend school. Living with his uncle John Paine, Drew studied for about ten years.	her	246	Mary Paine	255	False	Kelsey	267	True	http://en.wikipedia.org/wiki/Mary_S._Peake
9	development-10	Shaftesbury's UK partners in the production of the series, British broadcaster UKTV and the international distributor ITV Studios Global Entertainment, were both interested in additional seasons. Joe Jennings approached Kirstine Clarissa, executive vice-president of CBC's English services, about continuing the series, and he felt that ``a home at CBC made absolute sense''.	she	329	Christina Jennings	196	True	Kirstine Stewart	226	False	http://en.wikipedia.org/wiki/Murdoch_Mysteries
