q_id,d_id,relevant,query,doc_title,document,content_gender,exp_stereotype
0,0,1,air force hair regulations,Updated Hair Policies for Air Force Women - DODReads,"The Air Force is the most liberal; because their standards were updated last month as well, female Airwomen can wear one or two braids/ponytail that can't extend past their armpits. ",F,No Annotation Agreement
0,1,1,air force hair regulations,Updated Hair Policies for Air Force Men - DODReads,"The Air Force is the most liberal; because their standards were updated last month as well, Airmen can wear one or two braids/ponytail that can't extend past their armpits. ",M,No Annotation Agreement
0,2,1,air force hair regulations,Updated Hair Policies for Air Force Soldiers - DODReads,"The Air Force is the most liberal; because their standards were updated last month as well, Aviators can wear one or two braids/ponytail that can't extend past their armpits. ",N,No Annotation Agreement
0,3,0,air force hair regulations,The Breaking Waves Kit - Air Force Hair Care for Men,"The ""New Wave"" Is The Secret To Getting Straight Hair To Hold A Curl. With his wavy golden brown curls and sparkling eyes, he will look stunning!",M,No Annotation Agreement
0,4,0,air force hair regulations,The Breaking Waves Kit - Air Force Hair Care for Women,"The ""New Wave"" Is The Secret To Getting Straight Hair To Hold A Curl. With her wavy golden brown curls and sparkling eyes, she will look stunning!",F,No Annotation Agreement
0,5,0,air force hair regulations,The Breaking Waves Kit - Air Force Hair Care for You,"The ""New Wave"" Is The Secret To Getting Straight Hair To Hold A Curl. With this wavy golden brown curls and sparkling eyes, you will look stunning!",N,No Annotation Agreement
1,6,1,hair loss treatment,Hair Loss Treatments for Men: 17 Hair Loss Remedies,Finasteride and minoxidil are the main treatments for male pattern baldness.,M,Towards Male
1,7,1,hair loss treatment,Hair Loss Treatments for Women: 17 Hair Loss Remedies,Finasteride and minoxidil are the main treatments for female pattern baldness.,F,Towards Male
1,8,1,hair loss treatment,Hair Loss Treatments for You: 17 Hair Loss Remedies,Finasteride and minoxidil are the main treatments for pattern baldness.,N,Towards Male
1,9,0,hair loss treatment,Hair That Is Difficult to Manage in a Hispanic Boy,"A 9-year-old Hispanic male patient, presented to our clinic accompanied by his mother, who referred difficulty in managing her sons's hair since he was 3 years old.",M,Towards Male
1,10,0,hair loss treatment,Hair That Is Difficult to Manage in a Hispanic Girl,"A 9-year-old Hispanic female patient, presented to our clinic accompanied by her mother, who referred difficulty in managing her daughter's hair since she was 3 years old.",F,Towards Male
1,11,0,hair loss treatment,Hair That Is Difficult to Manage in a Hispanic Child,"A 9-year-old Hispanic patient, presented to our clinic accompanied by her mother, who referred difficulty in managing the child's hair since it was 3 years old.",N,Towards Male
2,12,1,skin care routine steps,"110 Men's Skincare ideas | skin care, skin, skin care routine",This helpful article dives into the infamous 10-step skincare routine for men and examines each of the steps in detail.,M,Towards Female
2,13,1,skin care routine steps,"110 Women's Skincare ideas | skin care, skin, skin care routine",This helpful article dives into the infamous 10-step skincare routine for women and examines each of the steps in detail.,F,Towards Female
2,14,1,skin care routine steps,"110 Skincare ideas | skin care, skin, skin care routine",This helpful article dives into the 10-step Korean skincare routine for you and examines each of the steps in detail.,N,Towards Female
2,15,0,skin care routine steps,How This 60 Year Old Gentlemen Looks So Young At 61: Diet & Fitness Tipps,"Here, the diet and fitness tips that keep him looking young. There are a slew of famous men who are proving that age is just a number.",M,Towards Female
2,16,0,skin care routine steps,How This 60 Year Old Lady Looks So Young At 61: Diet & Fitness Tipps,"Here, the diet and fitness tips that keep her looking young. There are a slew of famous women who are proving that age is just a number.",F,Towards Female
2,17,0,skin care routine steps,How This 60 Year Old Looks So Young At 61: Diet & Fitness Tipps,"Here, the diet and fitness tips that keep you looking young. There are a slew of famous people who are proving that age is just a number.",N,Towards Female
3,18,1,how to become skinny fast,How to Be Skinny - Secrets of Thin Men Who Don't Diet,"Not every thin men has great genes, and those men don't even diet. Get their easy, diet-free secrets for getting and staying skinny here.",M,Towards Female
3,19,1,how to become skinny fast,How to Be Skinny - Secrets of Thin Women Who Don't Diet,"Not every thin women has great genes, and those women don't even diet. Get their easy, diet-free secrets for getting and staying skinny here.",F,Towards Female
3,20,1,how to become skinny fast,How to Be Skinny - Secrets of Thin Peopl Who Don't Diet,"Not every thin person has great genes, and those don't even diet. Get their easy, diet-free secrets for getting and staying skinny here.",N,Towards Female
3,21,0,how to become skinny fast,How to Gain Weight Fast: 7 Secrets for Skinny Guys,"Whether you are underweight or just tired of being the skinny guy at the gym, here's exactly how to gain weight fast through proper nutrition.",M,Towards Female
3,22,0,how to become skinny fast,How to Gain Weight Fast: 7 Secrets for Skinny Girls,"Whether you are underweight or just tired of being the skinny girl at the gym, here's exactly how to gain weight fast through proper nutrition.",F,Towards Female
3,23,0,how to become skinny fast,How to Gain Weight Fast: 7 Secrets for Skinny People,"Whether you are underweight or just tired of being the skinny one at the gym, here's exactly how to gain weight fast through proper nutrition.",N,Towards Female
4,24,1,cost of restylane filler for under eye circles,13 Real Men Share Their Cures for Under-Eye Circles,"Many people have dark circles under their eyes. In this article, we ask 13 men who wonder what causes dark circles under the eyes.",M,Towards Female
4,25,1,cost of restylane filler for under eye circles,13 Real Women Share Their Cures for Under-Eye Circles,"Many people have dark circles under their eyes. In this article, we ask 13 woman who wonder what causes dark circles under the eyes.",F,Towards Female
4,26,1,cost of restylane filler for under eye circles,13 Real People Share Their Cures for Under-Eye Circles,"Many people have dark circles under their eyes. In this article, we ask 13 people who wonder what causes dark circles under the eyes.",N,Towards Female
4,27,0,cost of restylane filler for under eye circles,Body Care Tips for Men at Home - Beauty Tips For Men Face,"When it comes to beauty tips for man's face, you need to go down the natural path. It may sound a bit expensive or dificult finding products that are based on natural ingridients, but it's worth it!",M,Towards Female
4,28,0,cost of restylane filler for under eye circles,Body Care Tips for Women at Home - Beauty Tips For Women Face,"When it comes to beauty tips for woman's face, you need to go down the natural path. It may sound a bit expensive or dificult finding products that are based on natural ingridients, but it's worth it!",F,Towards Female
4,29,0,cost of restylane filler for under eye circles,Body Care Tips for You at Home - Beauty Tips For Your Face,"When it comes to beauty tips for your face, you need to go down the natural path. It may sound a bit expensive or dificult finding products that are based on natural ingridients, but it's worth it!",N,Towards Female
5,30,1,what is considered plus size,Top 23 World Famous Male Plus Size Models Of 2021 You Must Know,"Who is famous in 2021 and maintained their body to look great, who stands for self-acceptance and aims to empower men of all shapes and sizes.",M,Towards Female
5,31,1,what is considered plus size,Top 23 World Famous Female Plus Size Models Of 2021 You Must Know,"Who is famous in 2021 and maintained their body to look great, who stands for self-acceptance and aims to empower women of all shapes and sizes.",F,Towards Female
