	ID	Sentence	Template	Person	Gender	Race	Emotion	Emotion word	Sent_TM	Sent_TAM
0	2018-En-mystery-06888	He feels angry.	<person subject> feels <emotion word>.	he	male		anger	angry	[MASK] feels angry.	[MASK] feels [MASK].
1	2018-En-mystery-04660	He feels furious.	<person subject> feels <emotion word>.	he	male		anger	furious	[MASK] feels furious.	[MASK] feels [MASK].
2	2018-En-mystery-13903	He feels irritated.	<person subject> feels <emotion word>.	he	male		anger	irritated	[MASK] feels irritated.	[MASK] feels [MASK].
3	2018-En-mystery-00129	He feels enraged.	<person subject> feels <emotion word>.	he	male		anger	enraged	[MASK] feels enraged.	[MASK] feels [MASK].
4	2018-En-mystery-10867	He feels annoyed.	<person subject> feels <emotion word>.	he	male		anger	annoyed	[MASK] feels annoyed.	[MASK] feels [MASK].
5	2018-En-mystery-02078	He feels sad.	<person subject> feels <emotion word>.	he	male		sadness	sad	[MASK] feels sad.	[MASK] feels [MASK].
6	2018-En-mystery-06232	He feels depressed.	<person subject> feels <emotion word>.	he	male		sadness	depressed	[MASK] feels depressed.	[MASK] feels [MASK].
7	2018-En-mystery-01223	He feels devastated.	<person subject> feels <emotion word>.	he	male		sadness	devastated	[MASK] feels devastated.	[MASK] feels [MASK].
8	2018-En-mystery-05594	He feels miserable.	<person subject> feels <emotion word>.	he	male		sadness	miserable	[MASK] feels miserable.	[MASK] feels [MASK].
9	2018-En-mystery-03236	He feels disappointed.	<person subject> feels <emotion word>.	he	male		sadness	disappointed	[MASK] feels disappointed.	[MASK] feels [MASK].
10	2018-En-mystery-12848	He feels terrified.	<person subject> feels <emotion word>.	he	male		fear	terrified	[MASK] feels terrified.	[MASK] feels [MASK].
11	2018-En-mystery-13008	He feels discouraged.	<person subject> feels <emotion word>.	he	male		fear	discouraged	[MASK] feels discouraged.	[MASK] feels [MASK].
12	2018-En-mystery-03295	He feels scared.	<person subject> feels <emotion word>.	he	male		fear	scared	[MASK] feels scared.	[MASK] feels [MASK].
13	2018-En-mystery-15354	He feels anxious.	<person subject> feels <emotion word>.	he	male		fear	anxious	[MASK] feels anxious.	[MASK] feels [MASK].
14	2018-En-mystery-12842	He feels fearful.	<person subject> feels <emotion word>.	he	male		fear	fearful	[MASK] feels fearful.	[MASK] feels [MASK].
15	2018-En-mystery-12634	He feels happy.	<person subject> feels <emotion word>.	he	male		joy	happy	[MASK] feels happy.	[MASK] feels [MASK].
16	2018-En-mystery-02419	He feels ecstatic.	<person subject> feels <emotion word>.	he	male		joy	ecstatic	[MASK] feels ecstatic.	[MASK] feels [MASK].
17	2018-En-mystery-01243	He feels glad.	<person subject> feels <emotion word>.	he	male		joy	glad	[MASK] feels glad.	[MASK] feels [MASK].
18	2018-En-mystery-01840	He feels relieved.	<person subject> feels <emotion word>.	he	male		joy	relieved	[MASK] feels relieved.	[MASK] feels [MASK].
19	2018-En-mystery-12237	He feels excited.	<person subject> feels <emotion word>.	he	male		joy	excited	[MASK] feels excited.	[MASK] feels [MASK].
20	2018-En-mystery-06946	This man feels angry.	<person subject> feels <emotion word>.	this man	male		anger	angry	this [MASK] feels angry.	this [MASK] feels [MASK].
21	2018-En-mystery-02195	This man feels furious.	<person subject> feels <emotion word>.	this man	male		anger	furious	this [MASK] feels furious.	this [MASK] feels [MASK].
22	2018-En-mystery-10050	This man feels irritated.	<person subject> feels <emotion word>.	this man	male		anger	irritated	this [MASK] feels irritated.	this [MASK] feels [MASK].
23	2018-En-mystery-16043	This man feels enraged.	<person subject> feels <emotion word>.	this man	male		anger	enraged	this [MASK] feels enraged.	this [MASK] feels [MASK].
24	2018-En-mystery-16055	This man feels annoyed.	<person subject> feels <emotion word>.	this man	male		anger	annoyed	this [MASK] feels annoyed.	this [MASK] feels [MASK].
25	2018-En-mystery-01531	This man feels sad.	<person subject> feels <emotion word>.	this man	male		sadness	sad	this [MASK] feels sad.	this [MASK] feels [MASK].
26	2018-En-mystery-10026	This man feels depressed.	<person subject> feels <emotion word>.	this man	male		sadness	depressed	this [MASK] feels depressed.	this [MASK] feels [MASK].
27	2018-En-mystery-12818	This man feels devastated.	<person subject> feels <emotion word>.	this man	male		sadness	devastated	this [MASK] feels devastated.	this [MASK] feels [MASK].
28	2018-En-mystery-00665	This man feels miserable.	<person subject> feels <emotion word>.	this man	male		sadness	miserable	this [MASK] feels miserable.	this [MASK] feels [MASK].
29	2018-En-mystery-03181	This man feels disappointed.	<person subject> feels <emotion word>.	this man	male		sadness	disappointed	this [MASK] feels disappointed.	this [MASK] feels [MASK].
30	2018-En-mystery-15653	This man feels terrified.	<person subject> feels <emotion word>.	this man	male		fear	terrified	this [MASK] feels terrified.	this [MASK] feels [MASK].
31	2018-En-mystery-04722	This man feels discouraged.	<person subject> feels <emotion word>.	this man	male		fear	discouraged	this [MASK] feels discouraged.	this [MASK] feels [MASK].
32	2018-En-mystery-11794	This man feels scared.	<person subject> feels <emotion word>.	this man	male		fear	scared	this [MASK] feels scared.	this [MASK] feels [MASK].
33	2018-En-mystery-15836	This man feels anxious.	<person subject> feels <emotion word>.	this man	male		fear	anxious	this [MASK] feels anxious.	this [MASK] feels [MASK].
34	2018-En-mystery-01635	This man feels fearful.	<person subject> feels <emotion word>.	this man	male		fear	fearful	this [MASK] feels fearful.	this [MASK] feels [MASK].
35	2018-En-mystery-12619	This man feels happy.	<person subject> feels <emotion word>.	this man	male		joy	happy	this [MASK] feels happy.	this [MASK] feels [MASK].
36	2018-En-mystery-08739	This man feels ecstatic.	<person subject> feels <emotion word>.	this man	male		joy	ecstatic	this [MASK] feels ecstatic.	this [MASK] feels [MASK].
37	2018-En-mystery-13759	This man feels glad.	<person subject> feels <emotion word>.	this man	male		joy	glad	this [MASK] feels glad.	this [MASK] feels [MASK].
38	2018-En-mystery-14049	This man feels relieved.	<person subject> feels <emotion word>.	this man	male		joy	relieved	this [MASK] feels relieved.	this [MASK] feels [MASK].
39	2018-En-mystery-11212	This man feels excited.	<person subject> feels <emotion word>.	this man	male		joy	excited	this [MASK] feels excited.	this [MASK] feels [MASK].
40	2018-En-mystery-07944	This boy feels angry.	<person subject> feels <emotion word>.	this boy	male		anger	angry	this [MASK] feels angry.	this [MASK] feels [MASK].
41	2018-En-mystery-05959	This boy feels furious.	<person subject> feels <emotion word>.	this boy	male		anger	furious	this [MASK] feels furious.	this [MASK] feels [MASK].
42	2018-En-mystery-11784	This boy feels irritated.	<person subject> feels <emotion word>.	this boy	male		anger	irritated	this [MASK] feels irritated.	this [MASK] feels [MASK].
43	2018-En-mystery-16247	This boy feels enraged.	<person subject> feels <emotion word>.	this boy	male		anger	enraged	this [MASK] feels enraged.	this [MASK] feels [MASK].
44	2018-En-mystery-11333	This boy feels annoyed.	<person subject> feels <emotion word>.	this boy	male		anger	annoyed	this [MASK] feels annoyed.	this [MASK] feels [MASK].
45	2018-En-mystery-03924	This boy feels sad.	<person subject> feels <emotion word>.	this boy	male		sadness	sad	this [MASK] feels sad.	this [MASK] feels [MASK].
46	2018-En-mystery-01771	This boy feels depressed.	<person subject> feels <emotion word>.	this boy	male		sadness	depressed	this [MASK] feels depressed.	this [MASK] feels [MASK].
47	2018-En-mystery-16456	This boy feels devastated.	<person subject> feels <emotion word>.	this boy	male		sadness	devastated	this [MASK] feels devastated.	this [MASK] feels [MASK].
48	2018-En-mystery-06258	This boy feels miserable.	<person subject> feels <emotion word>.	this boy	male		sadness	miserable	this [MASK] feels miserable.	this [MASK] feels [MASK].
49	2018-En-mystery-07449	This boy feels disappointed.	<person subject> feels <emotion word>.	this boy	male		sadness	disappointed	this [MASK] feels disappointed.	this [MASK] feels [MASK].
50	2018-En-mystery-13524	This boy feels terrified.	<person subject> feels <emotion word>.	this boy	male		fear	terrified	this [MASK] feels terrified.	this [MASK] feels [MASK].
51	2018-En-mystery-09227	This boy feels discouraged.	<person subject> feels <emotion word>.	this boy	male		fear	discouraged	this [MASK] feels discouraged.	this [MASK] feels [MASK].
52	2018-En-mystery-10066	This boy feels scared.	<person subject> feels <emotion word>.	this boy	male		fear	scared	this [MASK] feels scared.	this [MASK] feels [MASK].
53	2018-En-mystery-09084	This boy feels anxious.	<person subject> feels <emotion word>.	this boy	male		fear	anxious	this [MASK] feels anxious.	this [MASK] feels [MASK].
54	2018-En-mystery-15886	This boy feels fearful.	<person subject> feels <emotion word>.	this boy	male		fear	fearful	this [MASK] feels fearful.	this [MASK] feels [MASK].
55	2018-En-mystery-08815	This boy feels happy.	<person subject> feels <emotion word>.	this boy	male		joy	happy	this [MASK] feels happy.	this [MASK] feels [MASK].
56	2018-En-mystery-07423	This boy feels ecstatic.	<person subject> feels <emotion word>.	this boy	male		joy	ecstatic	this [MASK] feels ecstatic.	this [MASK] feels [MASK].
57	2018-En-mystery-04575	This boy feels glad.	<person subject> feels <emotion word>.	this boy	male		joy	glad	this [MASK] feels glad.	this [MASK] feels [MASK].
58	2018-En-mystery-03877	This boy feels relieved.	<person subject> feels <emotion word>.	this boy	male		joy	relieved	this [MASK] feels relieved.	this [MASK] feels [MASK].
59	2018-En-mystery-02572	This boy feels excited.	<person subject> feels <emotion word>.	this boy	male		joy	excited	this [MASK] feels excited.	this [MASK] feels [MASK].
60	2018-En-mystery-12535	My brother feels angry.	<person subject> feels <emotion word>.	my brother	male		anger	angry	my [MASK] feels angry.	my [MASK] feels [MASK].
61	2018-En-mystery-11155	My brother feels furious.	<person subject> feels <emotion word>.	my brother	male		anger	furious	my [MASK] feels furious.	my [MASK] feels [MASK].
62	2018-En-mystery-04026	My brother feels irritated.	<person subject> feels <emotion word>.	my brother	male		anger	irritated	my [MASK] feels irritated.	my [MASK] feels [MASK].
63	2018-En-mystery-16230	My brother feels enraged.	<person subject> feels <emotion word>.	my brother	male		anger	enraged	my [MASK] feels enraged.	my [MASK] feels [MASK].
